date,store,machine_id,spins,bb,rb,event_frag,合算確率,BB確率,Rb確率,投入枚数(IN),払出枚数(OUT),利益(円),1Gあたり利益,稼働率,設定1差分,設定2差分,設定3差分,設定4差分,設定5差分,設定6差分,最小差分,推定設定,データ異常,設定信頼度,店舗日ID,イベント名
2026/03/17,1,1,7490,45,19,1,117.03125,166.4444444,394.2105263,22470,12624,196920,26.29105474,0.727184466,128.7397661,117.371345,186.871345,243.871345,262.871345,310.371345,117.371345,2,0,11.36842105,1_46098,特定日
2026/03/17,1,2,7383,33,27,1,123.05,223.7272727,273.4444444,22149,10512,232740,31.52377082,0.7167961165,252.6060606,213.6060606,136.1060606,55.10606061,24.43939394,71.93939394,24.43939394,5,0,30.66666667,1_46098,特定日
2026/03/17,1,3,8245,39,16,1,149.9090909,211.4102564,515.3125,24735,10896,276780,33.56943602,0.8004854369,221.0584936,254.0584936,323.5584936,380.5584936,399.5584936,447.0584936,221.0584936,1,0,33,1_46098,特定日
2026/03/17,1,4,7163,24,19,1,166.5813953,298.4583333,377,21489,7584,278100,38.82451487,0.6954368932,73.45833333,40.45833333,93.95833333,174.9583333,221.9583333,291.4583333,40.45833333,2,0,33,1_46098,特定日
2026/03/17,1,5,6479,28,10,1,170.5,231.3928571,647.9,19437,7680,235140,36.29263775,0.6290291262,399.9571429,432.9571429,502.4571429,559.4571429,578.4571429,630.7428571,399.9571429,1,0,33,1_46098,特定日
2026/03/17,1,6,9519,46,41,1,109.4137931,206.9347826,232.1707317,28557,14976,271620,28.53450993,0.9241747573,331.3091198,292.3091198,214.8091198,133.8091198,86.80911983,26.82131495,26.82131495,6,0,59.98780488,1_46098,特定日
2026/03/17,1,7,9420,17,23,1,235.5,554.1176471,409.5652174,28260,6288,439440,46.64968153,0.9145631068,281.9654731,320.9654731,398.4654731,479.4654731,526.4654731,595.9654731,281.9654731,1,0,39,1_46098,特定日
2026/03/17,1,8,9209,41,37,1,118.0641026,224.6097561,248.8918919,27627,13392,284700,30.91540884,0.8940776699,288.5524061,249.5524061,172.0524061,91.05240606,44.05240606,34.22808174,34.22808174,6,0,9.824324324,1_46098,特定日
2026/03/17,1,9,3086,7,3,1,308.6,440.8571429,1028.666667,9258,1968,145800,47.24562541,0.2996116505,1097.357143,1136.357143,1213.857143,1294.857143,1341.857143,1411.357143,1097.357143,1,0,39,1_46098,特定日
2026/03/17,1,10,7213,25,25,1,144.26,288.52,288.52,21639,8400,264780,36.70872037,0.7002912621,196.24,163.24,93.74,36.74,79.3,148.8,36.74,4,0,42.56,1_46098,特定日
2026/03/17,2,1,4504,20,13,0,136.4848485,225.2,346.4615385,13512,6048,149280,33.14387211,0.4372815534,141.6076923,102.6076923,56.49230769,113.4923077,132.4923077,179.9923077,56.49230769,3,0,46.11538462,2_46098,通常
2026/03/17,2,2,551,2,0,0,275.5,275.5,,1653,480,23460,42.57713249,0.05349514563,616,583,513.5,456.5,437.5,390,390,6,1,47.5,2_46098,通常
2026/03/17,2,3,633,1,2,0,211,633,316.5,1899,432,29340,46.3507109,0.06145631068,498.75,465.75,396.25,418.75,465.75,535.25,396.25,3,0,22.5,2_46098,通常
2026/03/17,2,4,1574,4,3,0,224.8571429,393.5,524.6666667,4722,1248,69480,44.14231258,0.152815534,294,333,410.5,491.5,538.5,608,294,1,0,39,2_46098,通常
2026/03/17,2,5,4027,10,19,0,138.862069,402.7,211.9473684,12081,4224,157140,39.02160417,0.3909708738,425.2789474,392.2789474,322.7789474,265.7789474,246.7789474,199.2789474,199.2789474,6,0,47.5,2_46098,通常
2026/03/17,2,6,3607,10,11,0,171.7619048,360.7,327.9090909,10821,3456,147300,40.83726088,0.3501941748,209.3363636,176.3363636,106.8363636,163.5636364,210.5636364,280.0636364,106.8363636,3,0,56.72727273,2_46098,通常
2026/03/17,2,7,1870,6,5,0,170,311.6666667,374,5610,1920,73800,39.46524064,0.1815533981,91.16666667,58.16666667,102.6666667,183.6666667,230.6666667,300.1666667,58.16666667,2,0,33,2_46098,通常
2026/03/17,2,8,255,0,0,0,,,,765,0,15300,60,0.02475728155,886.5,847.5,770,689,642,572.5,572.5,6,1,69.5,2_46098,通常
2026/03/17,2,9,4369,16,16,0,136.53125,273.0625,273.0625,13107,5376,154620,35.39024949,0.4241747573,203.96875,170.96875,101.46875,44.46875,40.65625,110.15625,40.65625,5,0,3.8125,2_46098,通常
2026/03/17,2,10,300,0,0,0,,,,900,0,18000,60,0.02912621359,886.5,847.5,770,689,642,572.5,572.5,6,1,69.5,2_46098,通常
2026/03/17,3,1,1919,6,6,0,159.9166667,319.8333333,319.8333333,5757,2016,74820,38.9890568,0.1863106796,180.5833333,147.5833333,78.08333333,110.5833333,157.5833333,227.0833333,78.08333333,3,0,32.5,3_46098,通常
2026/03/17,3,2,2907,7,8,0,193.8,415.2857143,363.375,8721,2448,125460,43.15789474,0.2822330097,210.7232143,177.7232143,190.3482143,271.3482143,318.3482143,387.8482143,177.7232143,2,0,12.625,3_46098,通常
2026/03/17,3,3,1242,5,2,0,177.4285714,248.4,621,3726,1392,46680,37.58454106,0.1205825243,342.6,375.6,445.1,502.1,537.9,607.4,342.6,1,0,33,3_46098,通常
2026/03/17,3,4,4434,20,13,0,134.3636364,221.7,341.0769231,13302,6048,145080,32.71989175,0.4304854369,153.1846154,114.1846154,51.91538462,108.9153846,127.9153846,175.4153846,51.91538462,3,0,57,3_46098,通常
2026/03/17,3,5,2320,5,8,0,178.4615385,464,290,6960,1968,99840,43.03448276,0.2252427184,369.5,336.5,267,210,257,326.5,210,4,0,47,3_46098,通常
